job_pk,title,organisation,location,digest_date,board_total_open_roles,url
20684,Social Media and Community Manager,Center for AI Safety,,2026-08-31,910,https://jobs.80000hours.org/?jobPk=20684
20698,"Team Member, Lab Engagement",Encode,,2026-08-31,910,https://jobs.80000hours.org/?jobPk=20698
20680,"Head of Partnerships, Fellowship",Tarbell Center for AI Journalism,,2026-08-31,910,https://jobs.80000hours.org/?jobPk=20680
20686,Digital Campaigns Manager,Humans in Control,,2026-08-31,910,https://jobs.80000hours.org/?jobPk=20686
20741,Residency Program,MATS Research,"London (UK) / San Francisco Bay Area / Washington, DC metro area (US)",2026-08-31,910,https://jobs.80000hours.org/?jobPk=20741
20764,AI Cyber Red Teamer,"Trajectory Labs, PBC",Remote (Global),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20764
20723,"Summer Fellowship, US",Institute for Law and AI,"Washington, DC metro area (US)",2026-08-31,910,https://jobs.80000hours.org/?jobPk=20723
20674,"Research Manager, Talent Development Team",GovAI,"Washington, DC metro area (US) / London (UK)",2026-08-31,910,https://jobs.80000hours.org/?jobPk=20674
20675,Entrepreneur-in-Residence,GovAI,"Washington, DC metro area (US) / London (UK)",2026-08-31,910,https://jobs.80000hours.org/?jobPk=20675
20743,"Business Correspondent, Artificial Intelligence and Emerging Technologies",The New York Times,San Francisco Bay Area (US),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20743
20762,"Associate, Operations",Center for AI Safety,San Francisco Bay Area (US),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20762
20681,Founding Recruiter,Center for AI Safety,San Francisco Bay Area (US),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20681
20678,Campus Operations Co-Lead,Lightcone Infrastructure,San Francisco Bay Area (US),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20678
20742,"AI Governance Roles, European Team",The Future Society,Brussels (Belgium) / Remote (Europe),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20742
20685,Business Immigration Associate,Coefficient Giving,Remote (Global),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20685
20724,US Policy Team Member,Future of Life Institute,"Washington, DC metro area (US)",2026-08-31,910,https://jobs.80000hours.org/?jobPk=20724
20721,Finance and Compliance Manager,Safe AI Forum,"London (UK) / Remote (Europe, UK, US, Canada)",2026-08-31,910,https://jobs.80000hours.org/?jobPk=20721
20714,Longform Video Creator,AI Digest,Remote (Global),2026-08-31,910,https://jobs.80000hours.org/?jobPk=20714
20696,Incubator Programme Lead,Talos Network,"Remote (Europe, UK)",2026-08-31,910,https://jobs.80000hours.org/?jobPk=20696
20646,The MATS Program (Winter 2027),MATS Research,,2026-08-24,857,https://jobs.80000hours.org/?jobPk=20646
20610,Emerging Leaders in Biosecurity Fellowship,"Johns Hopkins University, Bloomberg School of Public Health",,2026-08-24,857,https://jobs.80000hours.org/?jobPk=20610
20650,LASR Labs Programme (Winter 2027),LASR Labs,,2026-08-24,857,https://jobs.80000hours.org/?jobPk=20650
20663,Impact Accelerator Program,High Impact Professionals,,2026-08-24,857,https://jobs.80000hours.org/?jobPk=20663
20673,ERA AI Fellowship (Winter 2027),ERA,,2026-08-24,857,https://jobs.80000hours.org/?jobPk=20673
20590,"Head of Business Operations, AI Safety Institute","UK Government, AI Security Institute",London / Manchester (UK),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20590
20634,"Big if True Science Accelerator, Biosecurity Cohort",Renaissance Philanthropy,(Global),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20634
20621,"Fieldbuilder, Fellowships",SL5 Task Force,San Francisco Bay Area (US),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20621
20613,Recruiter,SL5 Task Force,San Francisco Bay Area (US),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20613
20633,"Project Manager, Pilot Audits",AI Verification and Evaluation Research Institute,Remote (US),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20633
20588,Corrigibility Research Fund,Lightcone Infrastructure,Remote (Global),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20588
20649,Laboratory Operations Assistant,SecureBio,Boston metro area (US),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20649
20648,Chief Operating Officer / Director of Operations,Longview Philanthropy,"San Francisco Bay Area / Washington, DC metro area / New York, NY (US) / London (UK)",2026-08-24,857,https://jobs.80000hours.org/?jobPk=20648
20631,Business Operations Generalist,Constellation,San Francisco Bay Area (US),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20631
20664,"Program Officer, AI Model Safety",OpenAI Foundation,San Francisco Bay Area (US),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20664
20666,"Program Officer, AI Resources",OpenAI Foundation,San Francisco Bay Area (US),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20666
20591,"Associate Program Officer, Transformative AI Fund",Centre for Effective Altruism,Remote (Global),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20591
20592,"Director, Community Growth",Centre for Effective Altruism,Remote (Global),2026-08-24,857,https://jobs.80000hours.org/?jobPk=20592
20593,"AI Standards Coordinator, Interdisciplinary","US Government, National Institute of Standards and Technology","Washington, DC metro area / Boulder, CO (US)",2026-08-24,857,https://jobs.80000hours.org/?jobPk=20593
20647,"Principal Researcher, AI Risk Management","US Government, National Institute of Standards and Technology","Washington, DC metro area / Boulder, CO (US)",2026-08-24,857,https://jobs.80000hours.org/?jobPk=20647
